term,domain,z,delta,count_domain,count_total,docfreq_domain,docfreq_total,ngram_len
rapid,CCE,3.8669014620085442,1.0336932342377478,35.0,58.0,31,51,1
free,CCE,3.8669014620085442,1.0336932342377478,35.0,58.0,22,41,1
growth of,CCE,3.848383245888195,1.3449875852794158,25.0,37.0,19,30,2
co2,CCE,3.8430638135645685,3.745835104267636,25.0,26.0,9,10,1
characterization of,CCE,3.829069110468514,1.4429345692889513,23.0,33.0,21,30,2
spectroscopy and,CCE,3.8091735817195795,1.5736758996065952,21.0,29.0,20,28,2
dislocation,CCE,3.7969907018252376,1.6574267086704442,20.0,27.0,11,15,1
porous,CCE,3.7951684428277077,2.7812200852528495,18.0,20.0,11,13,1
interface,CCE,3.7890362262209467,0.7275556746366103,57.0,108.0,41,72,1
processes in,CCE,3.7808789785499988,1.7589930034689907,19.0,25.0,19,25,2
to their,CCE,3.775366549340898,0.9789296465336781,36.0,61.0,35,60,2
crystalline,CCE,3.7710478773696403,1.1469325099769456,29.0,46.0,23,38,1
photoelectron spectroscopy,CCE,3.7633912191238816,2.3310884074953897,17.0,20.0,15,18,2
energy of,CCE,3.7570405311929473,1.8854813469872465,18.0,23.0,15,19,2
x-ray diffraction,CCE,3.7306724925172867,1.23112616618271,26.0,40.0,22,34,2
in-situ,CCE,3.71807820473822,2.0488797417861146,17.0,21.0,9,13,1
this process,CCE,3.71807820473822,2.0488797417861146,17.0,21.0,17,21,2
fibers,CCE,3.71807820473822,2.0488797417861146,17.0,21.0,6,7,1
controlling,CCE,3.6965639860123054,1.3485666226042152,23.0,34.0,20,31,1
current,CCE,3.691349718401504,0.6172046905749218,71.0,142.0,47,103,1
here we,CCE,3.6891877372510713,0.4188652944776985,140.0,311.0,139,310,2
solid,CCE,3.6879729248700364,0.9297616537660405,37.0,64.0,25,47,1
boron,CCE,3.676536901426737,1.4571591937013846,21.0,30.0,13,19,1
pulse,CCE,3.6664246844406323,1.5254148813849024,20.0,28.0,13,17,1
pulses,CCE,3.655133568219368,1.6067266155411097,19.0,26.0,12,15,1
halide,CCE,3.6487553537639608,1.0902544136802224,29.0,47.0,12,24,1
activation,CCE,3.6461251883838908,0.9509732166015894,35.0,60.0,16,31,1
excitons,CCE,3.616787229373331,1.1361755494873123,27.0,43.0,8,16,1
x-ray photoelectron spectroscopy,CCE,3.610426714344958,2.6671306719127195,16.0,18.0,14,16,3
proton,CCE,3.610426714344958,2.6671306719127195,16.0,18.0,7,8,1
x-ray photoelectron,CCE,3.610426714344958,2.6671306719127195,16.0,18.0,14,16,2
defects,CCE,3.6015519752459033,0.7809511715318651,46.0,85.0,23,45,1
femtosecond,CCE,3.586966532034178,1.9892304756979193,16.0,20.0,10,14,1
energy storage,CCE,3.586966532034178,1.9892304756979193,16.0,20.0,8,11,2
semiconducting,CCE,3.586966532034178,1.9892304756979193,16.0,20.0,9,13,1
environmental,CCE,3.573972818664889,1.2252290228396099,24.0,37.0,20,32,1
transport,CCE,3.5709536535018627,0.44631123765245473,117.0,256.0,66,142,1
atoms,CCE,3.559199169414805,0.9025676281708819,36.0,63.0,26,47,1
nuclear,CCE,3.549380957317829,1.3045271557958653,22.0,33.0,16,22,1
pristine,CCE,3.5382484613806566,1.3528473619095962,21.0,31.0,13,19,1
high-entropy,CCE,3.5277070808625743,1.4088555908509957,20.0,29.0,9,14,1
emitters,CCE,3.524396796136856,3.4923227501417795,19.0,20.0,13,14,1
and experimental,CCE,3.5173919760962127,1.4746585146836289,19.0,27.0,17,25,2
solidification,CCE,3.5094223903109025,2.6044492519481572,15.0,17.0,5,6,1
studied,CCE,3.4900755108675665,1.0760577853073219,27.0,44.0,27,43,1
to investigate,CCE,3.4726145166539553,1.098745222786551,26.0,42.0,25,41,2
nanoparticles,CCE,3.4726145166539553,1.098745222786551,26.0,42.0,17,24,1
graphene,CCE,3.4657449584585622,0.652595390106784,57.0,112.0,20,42,1
heating,CCE,3.4624817085715356,3.4417890747675575,18.0,19.0,13,14,1
excited,CCE,3.455814449082389,1.1238434770250691,25.0,40.0,20,31,1
descriptors,CCE,3.455814449082389,1.1238434770250691,25.0,40.0,20,27,1
the surface,CCE,3.452163530802516,0.8664780414388913,36.0,64.0,24,41,2
battery,CCE,3.447947037297727,1.9256755791389466,15.0,19.0,8,12,1
microstructural,CCE,3.4244949299555563,1.1830363094730387,23.0,36.0,16,23,1
during,CCE,3.4166638020056412,0.48606096601343385,92.0,197.0,70,160,1
ultrafast,CCE,3.405158979510087,0.985747962164945,29.0,49.0,16,29,1
scanning,CCE,3.405158979510087,0.985747962164945,29.0,49.0,26,44,1
fabrication of,CCE,3.401624661066742,2.5373213572635294,14.0,16.0,11,13,2
coatings,CCE,3.401624661066742,2.5373213572635294,14.0,16.0,7,9,1
inside,CCE,3.401624661066742,2.5373213572635294,14.0,16.0,12,14,1
germanium,CCE,3.401624661066742,2.5373213572635294,14.0,16.0,6,8,1
composition,CCE,3.3976567048245045,0.8191354322050506,38.0,69.0,31,54,1
ebsd,CCE,3.3972768423322304,3.3881780351713697,17.0,18.0,5,6,1
adsorption of,CCE,3.3972768423322304,3.3881780351713697,17.0,18.0,13,14,2
reactor,CCE,3.3972768423322304,3.3881780351713697,17.0,18.0,7,8,1
vacancy,CCE,3.3966700152017526,1.2584273570510032,21.0,32.0,13,20,1
copper,CCE,3.3958046572296854,2.140750887786929,14.0,17.0,8,11,1
gaussian process,CCE,3.3958046572296854,2.140750887786929,14.0,17.0,11,14,2
dots,CCE,3.3958046572296854,2.140750887786929,14.0,17.0,8,11,1
mechanical properties,CCE,3.3958046572296854,2.140750887786929,14.0,17.0,10,13,2
technology,CCE,3.3725230909599304,1.3580575367893104,19.0,28.0,14,19,1
recombination,CCE,3.361533479671357,1.4211372624007552,18.0,26.0,10,14,1
attractive,CCE,3.350670215778914,1.496712766678998,17.0,24.0,17,24,1
synthesis of,CCE,3.350670215778914,1.496712766678998,17.0,24.0,14,21,2
rate,CCE,3.342700723277218,0.5496353032547514,71.0,147.0,41,101,1
annihilation,CCE,3.338817026957006,1.5892035613243483,16.0,22.0,4,7,1
found that,CCE,3.338817026957006,1.5892035613243483,16.0,22.0,14,20,2
corrosion,CCE,3.3283728995920234,3.3311149488330862,16.0,17.0,5,6,1
mlips,CCE,3.3283728995920234,3.3311149488330862,16.0,17.0,6,7,1
light,CCE,3.3239228608275333,0.6798149834148299,49.0,95.0,35,64,1
process is,CCE,3.323628618517574,1.7055775404391103,15.0,20.0,13,16,2
acid,CCE,3.323628618517574,1.7055775404391103,15.0,20.0,12,14,1
rates,CCE,3.322592768198266,0.7828697354181022,39.0,72.0,27,55,1
applied,CCE,3.307076883141996,0.6171348383275275,57.0,114.0,47,96,1
intensity,CCE,3.3053310711707677,1.083355483988015,24.0,39.0,16,28,1
nitrogen,CCE,3.30004288868307,1.8576761879738033,14.0,18.0,8,12,1
reactivity,CCE,3.2860488826228624,2.465087287467684,13.0,15.0,10,12,1
learning interatomic,CCE,3.2860488826228624,2.465087287467684,13.0,15.0,9,11,2
machine learning interatomic,CCE,3.2860488826228624,2.465087287467684,13.0,15.0,9,11,3
